Date,Close
03/01/2006,346
04/01/2006,346.25
05/01/2006,339.75
06/01/2006,330.75
09/01/2006,326.5
10/01/2006,329.25
11/01/2006,330.5
12/01/2006,333.25
13/01/2006,334.75
17/01/2006,328.75
18/01/2006,322.5
19/01/2006,326.5
20/01/2006,326.5
23/01/2006,326
24/01/2006,332.5
25/01/2006,342
26/01/2006,344.5
27/01/2006,343.5
30/01/2006,345.25
31/01/2006,343.25
01/02/2006,339.25
02/02/2006,347.25
03/02/2006,356.5
06/02/2006,355
07/02/2006,351.75
08/02/2006,356.75
09/02/2006,363.25
10/02/2006,355.25
13/02/2006,348
14/02/2006,347.25
15/02/2006,352
16/02/2006,359
17/02/2006,368
21/02/2006,372.5
22/02/2006,365.5
23/02/2006,366.25
24/02/2006,368.25
27/02/2006,373.25
28/02/2006,370.25
01/03/2006,362.75
02/03/2006,369
03/03/2006,373.5
06/03/2006,370
07/03/2006,370.5
08/03/2006,376
09/03/2006,370.75
10/03/2006,374.5
13/03/2006,360
14/03/2006,352
15/03/2006,362
16/03/2006,352.75
17/03/2006,357.5
20/03/2006,350.25
21/03/2006,352.5
22/03/2006,349.25
23/03/2006,344
24/03/2006,342.5
27/03/2006,339.75
28/03/2006,341.25
29/03/2006,341.75
30/03/2006,344.5
31/03/2006,347.75
03/04/2006,342
04/04/2006,342.75
05/04/2006,347
06/04/2006,352.5
07/04/2006,351.25
10/04/2006,361
11/04/2006,367.5
12/04/2006,360.5
13/04/2006,357.5
17/04/2006,349.5
18/04/2006,355
19/04/2006,354.75
20/04/2006,353
21/04/2006,352.75
24/04/2006,350.75
25/04/2006,350
26/04/2006,348.5
27/04/2006,342.5
28/04/2006,346.25
01/05/2006,353.25
02/05/2006,355.25
03/05/2006,354
04/05/2006,352.25
05/05/2006,361.25
08/05/2006,363.5
09/05/2006,375.5
10/05/2006,377.5
11/05/2006,382.5
12/05/2006,394
15/05/2006,399.5
16/05/2006,403.5
17/05/2006,423
18/05/2006,418.5
19/05/2006,416.25
22/05/2006,426.25
23/05/2006,419.75
24/05/2006,411.75
25/05/2006,409.5
26/05/2006,415.5
30/05/2006,412
31/05/2006,393.5
01/06/2006,392
02/06/2006,403.75
05/06/2006,398.5
06/06/2006,385
07/06/2006,387.75
08/06/2006,383.5
09/06/2006,372.5
12/06/2006,373.75
13/06/2006,369.75
14/06/2006,361.25
15/06/2006,361.5
16/06/2006,359
19/06/2006,358.5
20/06/2006,367
21/06/2006,372
22/06/2006,365.5
23/06/2006,363.25
26/06/2006,368.5
27/06/2006,378.25
28/06/2006,372
29/06/2006,374
30/06/2006,371.5
05/07/2006,386.5
06/07/2006,390
07/07/2006,381.5
10/07/2006,382.5
11/07/2006,398
12/07/2006,390
13/07/2006,376
14/07/2006,366
17/07/2006,393
18/07/2006,398
19/07/2006,393
20/07/2006,406.5
21/07/2006,407.25
24/07/2006,400.5
25/07/2006,393.25
26/07/2006,382
27/07/2006,387.75
28/07/2006,388.5
31/07/2006,397.5
01/08/2006,392.5
02/08/2006,401.5
03/08/2006,395.25
04/08/2006,396
07/08/2006,393
08/08/2006,384
09/08/2006,388
10/08/2006,386.5
11/08/2006,373.75
14/08/2006,374
15/08/2006,376.75
16/08/2006,371.5
17/08/2006,363.5
18/08/2006,364.5
21/08/2006,365.75
22/08/2006,359.75
23/08/2006,366
24/08/2006,375.5
25/08/2006,378.5
28/08/2006,384.75
29/08/2006,380.5
30/08/2006,397.5
31/08/2006,404
01/09/2006,401.25
05/09/2006,404
06/09/2006,399
07/09/2006,403.5
08/09/2006,400
11/09/2006,398
12/09/2006,388.75
13/09/2006,381.5
14/09/2006,377
15/09/2006,392.5
18/09/2006,395.5
19/09/2006,409
20/09/2006,407.75
21/09/2006,421.5
22/09/2006,419
25/09/2006,413.75
26/09/2006,423
27/09/2006,424.25
28/09/2006,445.5
29/09/2006,443
02/10/2006,446
03/10/2006,439.5
04/10/2006,465
05/10/2006,464
06/10/2006,464
09/10/2006,494
10/10/2006,501
11/10/2006,531
12/10/2006,515.5
13/10/2006,525.5
16/10/2006,542.5
17/10/2006,531
18/10/2006,512.5
19/10/2006,513
20/10/2006,505
23/10/2006,517
24/10/2006,522.5
25/10/2006,516.75
26/10/2006,507.5
27/10/2006,508.5
30/10/2006,501
31/10/2006,483
01/11/2006,487.5
02/11/2006,491.5
03/11/2006,492.5
06/11/2006,498
07/11/2006,497
08/11/2006,504
09/11/2006,488
10/11/2006,480.5
13/11/2006,477
14/11/2006,486.5
15/11/2006,481.5
16/11/2006,468.75
17/11/2006,474
20/11/2006,475
21/11/2006,479.75
22/11/2006,486.25
23/11/2006,486.25
27/11/2006,490.25
28/11/2006,487.25
29/11/2006,490.5
30/11/2006,502
01/12/2006,500
04/12/2006,499.5
05/12/2006,498
06/12/2006,475
07/12/2006,477.5
08/12/2006,469
11/12/2006,475
12/12/2006,465
13/12/2006,472.5
14/12/2006,477
15/12/2006,494.25
18/12/2006,487.5
19/12/2006,492
20/12/2006,493.75
21/12/2006,503.25
22/12/2006,514
26/12/2006,516.75
27/12/2006,507
28/12/2006,504.25
29/12/2006,501
03/01/2007,476.5
04/01/2007,467.5
05/01/2007,470.25
08/01/2007,464
09/01/2007,453
10/01/2007,449.5
11/01/2007,456.5
12/01/2007,479.5
16/01/2007,464
17/01/2007,477
18/01/2007,471
19/01/2007,467
22/01/2007,465
23/01/2007,480.25
24/01/2007,466
25/01/2007,468.75
26/01/2007,463.5
29/01/2007,456.5
30/01/2007,459.5
31/01/2007,467.5
01/02/2007,460.25
02/02/2007,461.25
05/02/2007,458.5
06/02/2007,451
07/02/2007,452
08/02/2007,457
09/02/2007,460.25
12/02/2007,455.75
13/02/2007,459
14/02/2007,451
15/02/2007,453.25
16/02/2007,468
20/02/2007,464.5
21/02/2007,476
22/02/2007,489.5
23/02/2007,484.25
26/02/2007,483
27/02/2007,470.25
28/02/2007,474.5
01/03/2007,468
02/03/2007,459.5
05/03/2007,468
06/03/2007,459.5
07/03/2007,466.5
08/03/2007,464
09/03/2007,465.5
12/03/2007,460
13/03/2007,456
14/03/2007,446
15/03/2007,455.5
16/03/2007,460.75
19/03/2007,455
20/03/2007,462.75
21/03/2007,465.5
22/03/2007,467
23/03/2007,461.5
26/03/2007,458
27/03/2007,454
28/03/2007,456.5
29/03/2007,461
30/03/2007,438
02/04/2007,428
03/04/2007,419
04/04/2007,431.25
05/04/2007,445
09/04/2007,447.5
